x,y,valeur,date,tuile,unique_id,id_parc,annee_plan,cultivar_n,source,PAI_GF_mean,VCI_mean,CC,MOCH,ENL,Z_mean,densite,biomass_mean,lidar_date,age_plan
521988.22,6345668.34,80,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345668.34,73,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521948.22,6345658.34,60,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345658.34,88,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345658.34,95,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521978.22,6345658.34,99,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521988.22,6345658.34,99,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345658.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522008.22,6345658.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522018.22,6345658.34,30,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345648.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345648.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521978.22,6345648.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521988.22,6345648.34,97,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345648.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522008.22,6345648.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522018.22,6345648.34,76,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345638.34,97,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345638.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521978.22,6345638.34,97,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521988.22,6345638.34,96,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345638.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522008.22,6345638.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522018.22,6345638.34,96,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345628.34,91,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345628.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521978.22,6345628.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521988.22,6345628.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345628.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522008.22,6345628.34,99,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522018.22,6345628.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522028.22,6345628.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522038.22,6345628.34,52,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522048.22,6345628.34,22,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345618.34,85,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521978.22,6345618.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521988.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521998.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522008.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522018.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522028.22,6345618.34,100,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522038.22,6345618.34,99,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522048.22,6345618.34,97,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
522058.22,6345618.34,86,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521958.22,6345608.34,88,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
521968.22,6345608.34,98,2021,T30TYP,dep47_92,92,2013,I214,dep47,2.9222313642662936,0.9208183962882862,81.41,14.984113663322368,18.01445072328233,12.780764971133472,164.0,34.97343063354492,2021.0,8
