unique_id
dep47_47018000ZC0064
dep47_470160000F0461
dep47_472270000B0111
dep82_sp_252
dep82_sp_198
dep82_sp_78
dep47_47018000ZC0151
dep82_sp_196
dep47_47071000AD0079
dep47_472260000B0010
dep82_sp_233
dep47_47071000AD0075
dep47_47131000ZK0028
dep47_472270000B0109
dep82_sp_197
dep82_sp_195
